id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
4495,1901,8/29/2013 13:19,University and Emerson,35,8/29/2013 13:51,University and Emerson,35,168,Subscriber,94303
5259,5574,8/30/2013 10:27,Powell at Post (Union Square),71,8/30/2013 12:00,Embarcadero at Vallejo,48,458,Customer,33154
7208,93764,8/31/2013 16:26,Powell at Post (Union Square),71,9/1/2013 18:29,Market at 4th,76,540,Customer,
8456,802,9/1/2013 22:54,SJSU - San Salvador at 9th,16,9/1/2013 23:08,San Jose City Hall,10,246,Customer,95112
9403,553,9/3/2013 7:40,Embarcadero at Bryant,54,9/3/2013 7:49,San Francisco Caltrain 2 (330 Townsend),69,395,Subscriber,94105
10404,354,9/4/2013 9:55,2nd at South Park,64,9/4/2013 10:01,Market at Sansome,77,458,Subscriber,94107
11467,544,9/5/2013 12:41,Market at 4th,76,9/5/2013 12:50,Market at 10th,67,589,Customer,94043
12360,642,9/6/2013 12:35,Clay at Battery,41,9/6/2013 12:45,Harry Bridges Plaza (Ferry Building),50,368,Subscriber,94941
13342,969,9/7/2013 11:01,Golden Gate at Polk,59,9/7/2013 11:17,Market at Sansome,77,311,Customer,97217
14263,410,9/8/2013 8:34,Paseo de San Antonio,7,9/8/2013 8:41,Paseo de San Antonio,7,91,Subscriber,95112
15151,331,9/9/2013 7:36,2nd at Folsom,62,9/9/2013 7:42,San Francisco Caltrain (Townsend at 4th),70,637,Subscriber,94107
16068,394,9/9/2013 20:50,St James Park,13,9/9/2013 20:57,Japantown,9,670,Customer,95112
16987,632,9/10/2013 17:35,Embarcadero at Bryant,54,9/10/2013 17:45,Embarcadero at Sansome,60,372,Subscriber,94107
17943,143,9/11/2013 15:19,MLK Library,11,9/11/2013 15:21,SJSU 4th at San Carlos,12,185,Subscriber,95112
18860,312,9/12/2013 11:04,Beale at Market,56,9/12/2013 11:09,Commercial at Montgomery,45,603,Subscriber,94110
19787,201,9/13/2013 7:49,Steuart at Market,74,9/13/2013 7:52,Spear at Folsom,49,459,Subscriber,94110
